d,n_train,seed,noise_frac,sigma,tau_true,A_hat,tau_hat,G_dagger,G_star,fits,rmse,G_bullet,A_anchor,tau_target,A_ratio,tau_ratio,delta_proxy
20,300,0,0.1,0.06591582594912657,0.004344896110555547,0.2634429037586743,0.13223221157983564,1.8377277370049403,4,4,0.4255848042470321,2.680057661735535,0.25402328895752446,0.004273245254044793,1.0370816976656219,30.94421305556303,0.001617245660381669
20,300,1,0.1,0.06481189977077904,0.004200582351897509,0.10427953524588365,0.11654177024696045,1.6813394903121037,4,4,0.38759080684933533,2.680057661735535,0.25402328895752446,0.004273245254044793,0.41051171203172776,27.272427234699233,0.0035977278750447747
20,300,2,0.1,0.058302057498296034,0.0033991299085346168,0.12238635634411162,0.1349294078236925,1.6838831829930707,4,4,0.46176097986415326,2.680057661735535,0.25402328895752446,0.004273245254044793,0.48179187367570847,31.575395232926677,0.003550636051466347
20,300,3,0.1,0.06517429244925607,0.004247688396261157,0.09879014277018953,0.09042895954013554,1.7190459311782802,4,4,0.29836306704188975,2.680057661735535,0.25402328895752446,0.004273245254044793,0.38890191200818736,21.161659152266303,0.002961779036212488
20,300,4,0.1,0.06556525079513102,0.004298802111828429,0.19947172110165337,0.10872571152576958,1.8209724259626685,4,4,0.3085441108521484,2.680057661735535,0.25402328895752446,0.004273245254044793,0.7852497380073182,25.4433586330802,0.0017609227051246787
20,300,5,0.1,0.06306982344262478,0.003977802629083862,0.11204079929578867,0.1722223464649,1.622834440792575,4,4,0.4023124042205625,2.680057661735535,0.25402328895752446,0.004273245254044793,0.4410650683076666,40.30247182791225,0.0048839351308299014
20,300,6,0.1,0.06645062178638271,0.004415685135796881,0.15028625353083672,0.1464784767076079,1.7070982999354543,4,4,0.41017546415413864,2.680057661735535,0.25402328895752446,0.004273245254044793,0.5916239182147046,34.278041160628526,0.0031495119060232345
20,300,7,0.1,0.06638102725450093,0.004406440779362795,0.1332718544313019,0.1627541142589086,1.6648549800524317,4,4,0.4256352859558931,2.680057661735535,0.25402328895752446,0.004273245254044793,0.5246442362754639,38.08677119686858,0.003919249049856056
20,300,8,0.1,0.06470451712313142,0.004186674536137608,0.16606990542410668,0.11174147106395048,1.7788517551979028,4,4,0.3803407840428058,2.680057661735535,0.25402328895752446,0.004273245254044793,0.6537585829458158,26.149089139731174,0.0021815256331490437
20,300,9,0.1,0.07023443771103588,0.004932876240585379,0.16789570366251635,0.2210624158403042,1.650992456700916,4,4,0.5184445084856406,2.680057661735535,0.25402328895752446,0.004273245254044793,0.6609461059713717,51.7317407960753,0.004213040938910446
