d,n_per_pair,seed,threshold,n_true,n_discovered,tp,fp,fn,precision,recall,f1,disc_rmse,oracle_rmse,rmse_ratio
10,120,0,0.005,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.03178195301955746,0.006773396248359216,4.692173889465909
10,120,0,0.01,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.03178195301955746,0.006773396248359216,4.692173889465909
10,120,0,0.02,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.03178195301955746,0.006773396248359216,4.692173889465909
10,120,0,0.05,5,5,5,0,0,1.0,1.0,1.0,0.006773396248368384,0.006773396248359216,1.0000000000013536
10,120,1,0.005,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.03280500229776202,0.00763142987113795,4.298670478756605
10,120,1,0.01,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.03280500229776202,0.00763142987113795,4.298670478756605
10,120,1,0.02,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.03280500229776202,0.00763142987113795,4.298670478756605
10,120,1,0.05,5,7,5,2,0,0.7142857142857143,1.0,0.8333333333333333,0.031619831095527226,0.00763142987113795,4.1433691496155065
10,120,2,0.005,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.03611350662361523,0.007482221503573567,4.826575450401614
10,120,2,0.01,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.03611350662361523,0.007482221503573567,4.826575450401614
10,120,2,0.02,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.03611350662361523,0.007482221503573567,4.826575450401614
10,120,2,0.05,5,8,5,3,0,0.625,1.0,0.7692307692307693,0.0355579749027892,0.007482221503573567,4.752328554535098
10,120,3,0.005,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.029107672020057224,0.006792431380958148,4.285309690673866
10,120,3,0.01,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.029107672020057224,0.006792431380958148,4.285309690673866
10,120,3,0.02,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.029107672020057224,0.006792431380958148,4.285309690673866
10,120,3,0.05,5,7,5,2,0,0.7142857142857143,1.0,0.8333333333333333,0.02789696707890293,0.006792431380958148,4.107066455924617
10,120,4,0.005,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.03729703065984644,0.008008294050049457,4.657300347208918
10,120,4,0.01,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.03729703065984644,0.008008294050049457,4.657300347208918
10,120,4,0.02,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.03729703065984644,0.008008294050049457,4.657300347208918
10,120,4,0.05,5,8,5,3,0,0.625,1.0,0.7692307692307693,0.03665337141510207,0.008008294050049457,4.576926269943311
10,240,0,0.005,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.0063287777711794274,0.004991697627979971,1.2678608046498487
10,240,0,0.01,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.0063287777711794274,0.004991697627979971,1.2678608046498487
10,240,0,0.02,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.0063287777711794274,0.004991697627979971,1.2678608046498487
10,240,0,0.05,5,5,5,0,0,1.0,1.0,1.0,0.004991697627981004,0.004991697627979971,1.000000000000207
10,240,1,0.005,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.0062064448320684395,0.004934259182812201,1.2578270824701951
10,240,1,0.01,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.0062064448320684395,0.004934259182812201,1.2578270824701951
10,240,1,0.02,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.0062064448320684395,0.004934259182812201,1.2578270824701951
10,240,1,0.05,5,5,5,0,0,1.0,1.0,1.0,0.004934259182812021,0.004934259182812201,0.9999999999999635
10,240,2,0.005,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.00704764244004518,0.00531133254116155,1.3269066445054316
10,240,2,0.01,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.00704764244004518,0.00531133254116155,1.3269066445054316
10,240,2,0.02,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.00704764244004518,0.00531133254116155,1.3269066445054316
10,240,2,0.05,5,5,5,0,0,1.0,1.0,1.0,0.005311332541161483,0.00531133254116155,0.9999999999999875
10,240,3,0.005,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.006315253257165759,0.00479387982120455,1.3173574417180396
10,240,3,0.01,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.006315253257165759,0.00479387982120455,1.3173574417180396
10,240,3,0.02,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.006315253257165759,0.00479387982120455,1.3173574417180396
10,240,3,0.05,5,5,5,0,0,1.0,1.0,1.0,0.0047938798212073695,0.00479387982120455,1.0000000000005882
