noise_frac,use_rate,signal_score,bracketed_rate,kore_fits,ratio_kore_null
0.05,0.0,4.138058698634579,0.0,5.0,0.4538142502054649
0.1,0.0,4.071785266669918,0.0,5.0,0.43714262183106617
0.2,0.0,3.997956753321519,0.0,5.0,0.47289331665228024
0.4,0.2,3.575912687719982,0.2,5.0,0.5373323175446248
0.8,0.4,1.2738778546740466,0.6,4.8,0.7859311324307015
1.2,0.2,0.554804471130409,1.0,4.2,0.9682519750148652
1.6,0.0,-0.3979727238067087,1.0,4.0,1.05812448068918
2.0,0.0,-0.36626684105386564,1.0,4.2,1.2398936450204878
