family,d,density,n_train,seed,kore_structure,kore_G,kore_fits,kore_time,kore_rmse,cv_structure,cv_G,cv_fits,cv_time,cv_rmse,gcv_structure,gcv_G,gcv_fits,gcv_time,gcv_rmse,aic_structure,aic_G,aic_fits,aic_time,aic_rmse,bic_structure,bic_G,bic_fits,bic_time,bic_rmse,cp_structure,cp_G,cp_fits,cp_time,cp_rmse,structure_correct_kore,structure_correct_cv,structure_correct_gcv,structure_correct_aic,structure_correct_bic,structure_correct_cp
additive,10,120,1200,0,additive,15,14,0.06556414099986796,0.007712537992894772,additive,12,91,0.5705778349997672,0.008633375558088652,additive,16,29,0.36603637700000036,0.00815939879975234,additive,16,29,0.36603637700000036,0.00815939879975234,additive,12,29,0.36603637700000036,0.008633375558088652,additive,16,29,0.36603637700000036,0.00815939879975234,1,1,1,1,1,1
additive,10,120,1200,1,additive,15,14,0.06680259399990973,0.007977539576620821,additive,14,91,0.5803123329997106,0.007838254642162952,additive,13,29,0.3709061049999036,0.008210075176522585,additive,14,29,0.3709061049999036,0.007838254642162952,additive,11,29,0.3709061049999036,0.010250823155093637,additive,13,29,0.3709061049999036,0.008210075176522585,1,1,1,1,1,1
additive,10,120,1200,2,additive,15,14,0.06664061599985871,0.008300898270712368,additive,14,91,0.5798087389998727,0.008301494347544075,additive,14,29,0.37071512000011353,0.008301494347544075,additive,16,29,0.37071512000011353,0.008624505256725134,additive,11,29,0.37071512000011353,0.010367539734789662,additive,14,29,0.37071512000011353,0.008301494347544075,1,1,1,1,1,1
additive,10,120,1200,3,additive,15,14,0.0665041810002549,0.008135391335511897,additive,13,91,0.5782726000002185,0.008267164169948816,additive,13,29,0.3702163869998003,0.008267164169948816,additive,14,29,0.3702163869998003,0.007864164956543991,additive,13,29,0.3702163869998003,0.008267164169948816,additive,13,29,0.3702163869998003,0.008267164169948816,1,1,1,1,1,1
additive,10,120,1200,4,additive,15,14,0.0679090520002319,0.008836931171619844,additive,13,91,0.5914877899999738,0.008805666772040562,additive,14,29,0.3794019000001754,0.008960716445506492,additive,16,29,0.3794019000001754,0.009042228119926684,additive,11,29,0.3794019000001754,0.011171517495779616,additive,14,29,0.3794019000001754,0.008960716445506492,1,1,1,1,1,1
additive,20,120,2400,0,additive,15,14,0.2760069519999888,0.007456326239828772,additive,14,91,2.783138178000172,0.007462172713066665,additive,14,29,1.696259748999637,0.007462172713066665,additive,14,29,1.696259748999637,0.007462172713066665,additive,11,29,1.696259748999637,0.009446281656894578,additive,14,29,1.696259748999637,0.007462172713066665,1,1,1,1,1,1
additive,20,120,2400,1,additive,15,14,0.2702702090000457,0.007430430666627812,additive,14,91,2.739576369000133,0.007472705726012512,additive,13,29,1.66325464800002,0.0076204332956407075,additive,14,29,1.66325464800002,0.007472705726012512,additive,12,29,1.66325464800002,0.008059796577779835,additive,13,29,1.66325464800002,0.0076204332956407075,1,1,1,1,1,1
additive,20,120,2400,2,additive,15,14,0.27985967599988726,0.00714373344292208,additive,13,91,2.7729926520000845,0.007127628790441547,additive,13,29,1.6743430250003257,0.007127628790441547,additive,13,29,1.6743430250003257,0.007127628790441547,additive,12,29,1.6743430250003257,0.007512982493478151,additive,13,29,1.6743430250003257,0.007127628790441547,1,1,1,1,1,1
additive,20,120,2400,3,additive,15,14,0.2747120169997288,0.007538014121311745,additive,12,91,2.6852050469997266,0.007935468500453716,additive,13,29,1.6523134939998272,0.007462508899415808,additive,13,29,1.6523134939998272,0.007462508899415808,additive,12,29,1.6523134939998272,0.007935468500453716,additive,13,29,1.6523134939998272,0.007462508899415808,1,1,1,1,1,1
additive,20,120,2400,4,additive,15,14,0.280080339000051,0.00787828879503312,additive,13,91,2.7307905259999643,0.007521685578923729,additive,15,29,1.683193126000333,0.007878288795033366,additive,15,29,1.683193126000333,0.007878288795033366,additive,12,29,1.683193126000333,0.007935616203450046,additive,15,29,1.683193126000333,0.007878288795033366,1,1,1,1,1,1
