dataset,n_train,d,kore_rmse,classical_best_rmse,booster_best_rmse,log_ratio_vs_classical,log_ratio_vs_booster,high_d,large_loss_vs_classical,large_loss_vs_booster,structural_explanation
auction_verification,1634.0,16.0,5307.064372478643,5383.4808082280215,382.6853053163137,-0.014296321840124701,2.629581118186781,False,False,True,non-additive structure favors trees
fps_benchmark,2000.0,125.0,11.768194805550769,53.526066169017135,3.6840705634073534,-1.51476821636336,1.1613822647698713,True,False,True,high post-one-hot dimension
energy_efficiency,614.0,8.0,1.0474587457039104,1.0474587457070546,0.3735485679797163,-3.001709991683541e-12,1.0310742365738506,False,False,True,non-additive structure favors trees
video_transcoding,2000.0,24.0,9.337588594746816,9.464836326297752,3.81458254146728,-0.013535453519235826,0.8952168052890677,True,False,True,non-additive structure favors trees
airfoil_self_noise,1202.0,5.0,3.121434763696179,3.050878595494348,1.509830642258936,0.022863143043812106,0.726295269184841,False,False,True,non-additive structure favors trees
miami_housing,2000.0,15.0,149161.579162218,143089.3221120002,104176.10594354948,0.0415610768765586,0.3589473488291528,False,False,True,non-additive structure favors trees
concrete_compressive_strength,824.0,8.0,5.8948332299271415,5.729338441001638,4.137159745761579,0.028476174761873765,0.35406674285284484,False,False,True,non-additive structure favors trees
physiochemical_protein,2000.0,9.0,5.11350876525122,5.0656388099869165,4.454947503409642,0.009405563247754925,0.1378705382948327,False,False,True,near-tie
sarcos,2000.0,21.0,4.913610883310581,4.847338080800833,4.661671808476535,0.01357938068112744,0.05263494465479283,True,False,True,near-tie
