family,d,density,n_train,kore_structure,kore_G_mean,kore_rmse_mean,kore_rmse_std,kore_fits_mean,kore_time_mean,cv_structure,cv_G_mean,cv_rmse_mean,cv_rmse_std,cv_fits_mean,cv_time_mean,gcv_structure,gcv_G_mean,gcv_rmse_mean,gcv_rmse_std,gcv_fits_mean,gcv_time_mean,aic_structure,aic_G_mean,aic_rmse_mean,aic_rmse_std,aic_fits_mean,aic_time_mean,bic_structure,bic_G_mean,bic_rmse_mean,bic_rmse_std,bic_fits_mean,bic_time_mean,cp_structure,cp_G_mean,cp_rmse_mean,cp_rmse_std,cp_fits_mean,cp_time_mean,rmse_ratio_kore_cv,rmse_ratio_gcv_cv,rmse_ratio_aic_cv,rmse_ratio_bic_cv,rmse_ratio_cp_cv,fit_speedup_cv_kore,fit_speedup_cv_gcv,fit_speedup_cv_aic,fit_speedup_cv_bic,fit_speedup_cv_cp
additive,10,120,1200,additive,15.0,0.00819265966947194,0.0004203791455402211,14.0,0.06668411680002465,additive,13.2,0.00836919109795701,0.00037322590584931063,91.0,0.5800918593999086,additive,14.0,0.008379769787854862,0.00032926650387222193,29.0,0.37145517779999865,additive,15.2,0.00830571035502222,0.0005193680922474908,29.0,0.37145517779999865,additive,11.6,0.009738084022740076,0.0012346895802302596,29.0,0.37145517779999865,additive,14.0,0.008379769787854862,0.00032926650387222193,29.0,0.37145517779999865,0.9789069903627647,1.0012640038653715,0.9924149488054723,1.1635633490454322,1.0012640038653715,6.5,3.1379310344827585,3.1379310344827585,3.1379310344827585,3.1379310344827585
additive,20,120,2400,additive,15.0,0.0074893586531447065,0.0002634646293706897,14.0,0.27618583859994034,additive,13.2,0.007503932261779633,0.00028760300960891115,91.0,2.742340554400016,additive,13.6,0.007510206498719618,0.000273213530061144,29.0,1.6738728084000285,additive,13.8,0.00748066098479398,0.0002662114790267237,29.0,1.6738728084000285,additive,11.8,0.008178029086411267,0.0007386355872641787,29.0,1.6738728084000285,additive,13.6,0.007510206498719618,0.000273213530061144,29.0,1.6738728084000285,0.9980578704435865,1.0008361265428716,0.9968987890383576,1.0898324773086059,1.0008361265428716,6.5,3.1379310344827585,3.1379310344827585,3.1379310344827585,3.1379310344827585
additive,40,120,4800,additive,15.0,0.007657235698252355,0.0003373407222166204,14.0,1.634760367599938,additive,14.0,0.007691281490663128,0.00029522067403988696,91.0,16.807684123799937,additive,14.0,0.007691281490663128,0.00029522067403988696,29.0,9.33216753759998,additive,14.6,0.007683605682568309,0.0003249205633413037,29.0,9.33216753759998,additive,12.0,0.008503883739463083,0.0002228233880650116,29.0,9.33216753759998,additive,14.0,0.007691281490663128,0.00029522067403988696,29.0,9.33216753759998,0.9955734564581855,1.0,0.9990020118098477,1.1056523870289259,1.0,6.5,3.1379310344827585,3.1379310344827585,3.1379310344827585,3.1379310344827585
pairwise,10,240,1200,pairwise,3.0,0.0047456089675983245,0.00025002744759454194,9.0,0.04534347720000369,pairwise,3.0,0.0047456089675908435,0.00025002744758600444,91.0,0.5884337078000499,pairwise,3.4,0.004812604011917811,0.00023868856230841893,29.0,0.3357707322000351,pairwise,4.6,0.005019140194947069,8.860954511219822e-05,29.0,0.3357707322000351,pairwise,3.0,0.0047456089675908435,0.00025002744758600444,29.0,0.3357707322000351,pairwise,3.4,0.004812604011917811,0.00023868856230841893,29.0,0.3357707322000351,1.0000000000015763,1.0141172702564616,1.0576388044662446,1.0,1.0141172702564616,10.11111111111111,3.1379310344827585,3.1379310344827585,3.1379310344827585,3.1379310344827585
pairwise,20,240,2400,pairwise,3.0,0.004985413570579619,0.00017909939105675095,9.0,0.18327918080003655,pairwise,3.0,0.0049854135705872295,0.00017909939106342223,91.0,2.749207037400083,pairwise,3.0,0.0049854135705872295,0.00017909939106342223,29.0,1.3947076935998666,pairwise,5.0,0.0053213168387862,0.00016548921501834279,29.0,1.3947076935998666,pairwise,3.0,0.0049854135705872295,0.00017909939106342223,29.0,1.3947076935998666,pairwise,3.0,0.0049854135705872295,0.00017909939106342223,29.0,1.3947076935998666,0.9999999999984736,1.0,1.067377212229838,1.0,1.0,10.11111111111111,3.1379310344827585,3.1379310344827585,3.1379310344827585,3.1379310344827585
pairwise,40,240,4800,pairwise,3.0,0.005114916085027487,0.00010145872150146875,9.0,1.0588290484000027,pairwise,3.0,0.00511491608503948,0.00010145872152356984,91.0,15.988245940199885,pairwise,3.0,0.00511491608503948,0.00010145872152356984,29.0,6.3265840883999775,pairwise,5.0,0.005349396035893289,0.00010666364846476292,29.0,6.3265840883999775,pairwise,3.0,0.00511491608503948,0.00010145872152356984,29.0,6.3265840883999775,pairwise,3.0,0.00511491608503948,0.00010145872152356984,29.0,6.3265840883999775,0.9999999999976553,1.0,1.0458423846951537,1.0,1.0,10.11111111111111,3.1379310344827585,3.1379310344827585,3.1379310344827585,3.1379310344827585
