n_train,A_ratio_median,A_ratio_q25,A_ratio_q75,tau_ratio_median,tau_ratio_q25,tau_ratio_q75,G_dagger_mean,G_dagger_std,G_bullet,delta_proxy_mean,delta_proxy_std
300,0.5326328749937396,0.44648569378165365,0.6555554637022047,34.142027928646925,28.221598772593673,41.16487656981775,1.6904575970866962,0.09009727136111356,2.680057661735535,0.0039369944219739715,0.0027411765671741892
600,1.0781538214415547,1.0290365689859833,1.1749120919330536,1.3937148416058014,1.3122776890715002,1.4754274367581164,2.8147229081135516,0.04983856143859687,2.905222200579123,2.6952302516698605e-06,3.6309775239118423e-06
1200,1.0476332100515584,0.9300729016185025,1.1510616308238135,0.9961667805065695,0.8974609232260822,1.0186878763178702,3.147503388886717,0.052527018607509045,3.135556127196141,2.813235216164148e-07,3.612115819577238e-07
2400,1.00107910462216,0.9393470328340963,1.1099018596447152,1.0077258643626013,0.922253516585415,1.0751678957808872,3.3855790046703618,0.058719725504930494,3.386757353058654,1.6288818878604048e-07,2.8930291192643106e-07
4800,1.0225572903086109,0.9253047423645958,1.0960030374000123,1.0046296151965903,0.9006877786004297,1.0664054829823675,3.6575641768628864,0.0596412175631185,3.6556768416552186,7.693241034684612e-08,1.19479850935574e-07
9600,0.9981783544209775,0.9168782724368569,1.1038540730782715,0.9942518803498412,0.9027108620896325,1.0370914898895809,3.945952186445152,0.06160644242566131,3.9437410415247447,3.903095569777562e-08,7.353033738568472e-08
19200,1.0,0.9331405013926334,1.0875243713305764,0.9947904372098704,0.9100989586786303,1.05589063542333,4.260139277821709,0.06790704185581382,4.264243154047731,2.21522648614571e-08,4.593505190849767e-08
