n,std_A_hat,std_tau_hat,predicted_envelope_A,predicted_envelope_tau
300,0.030526514563561532,0.022063271570917916,0.03050605676888276,0.021287476483547257
600,0.02323746534153311,0.01728546264554336,0.02157103960853878,0.01505251897586543
1200,0.015667015507390563,0.00993475372608396,0.01525302838444138,0.010643738241773629
2400,0.010814878137965356,0.007022082068048202,0.01078551980426939,0.007526259487932715
4800,0.007403341166149114,0.00551005744194015,0.00762651419222069,0.005321869120886814
9600,0.005003683540464893,0.003506631002971145,0.005392759902134695,0.0037631297439663573
