method,gm_rmse_ratio_vs_cv,gm_fit_speedup_vs_cv
KORE,0.9953941341272696,8.106924338010208
GCV,1.0026898666321082,3.137931034482759
AIC,1.026058317120468,3.137931034482759
BIC,1.0579408768686118,3.137931034482759
Cp,1.0026898666321082,3.137931034482759
