dataset,method,family,seed,n_total,n_train,n_test,d,host,pid,rss_start_mb,rmse_test,mae_test,r2_test,nrmse_test,n_fits,fit_time_s,best_hp,used_defaults,used_constant_predictor,error,rss_peak_mb,rss_end_mb,rss_advisory_exceeded
combined_cycle_power_plant,bic_spline,spline,3,2500,2000,500,4,5129-185601-qvgdtemg-172-21-0-112,77185,348.65234375,4.117244505010715,3.2317395776480944,0.9397932845765812,0.2403122507197815,28,0.3494683990011253,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,348.67578125,352.0078125,False
auction_verification,bic_spline,spline,2,2043,1634,409,16,5129-185601-qvgdtemg-172-21-0-112,77162,348.41015625,5502.966152655307,4351.820851037452,0.7390592577044238,0.5358144963743924,21,0.8912101469995832,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,355.00390625,353.7109375,False
physiochemical_protein,bic_spline,spline,2,2500,2000,500,9,5129-185601-qvgdtemg-172-21-0-112,77171,348.51171875,5.113508765253062,4.201854548377442,0.2845948025322896,0.8240208492081799,22,0.5167147679985646,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,389.15234375,351.859375,False
space_ga,bic_spline,spline,2,2500,2000,500,6,5129-185601-qvgdtemg-172-21-0-112,77206,351.41796875,0.1069367342487211,0.0789605623085123,0.7034967669486721,0.5253875784250689,25,0.4501450780007872,"{'structure': 'additive', 'G_star': 5, 'criterion': 'bic'}",False,False,,351.44140625,365.1171875,False
concrete_compressive_strength,bic_spline,spline,3,1030,824,206,8,5129-185601-qvgdtemg-172-21-0-112,77225,351.23046875,5.659681165225267,4.455430290353434,0.8798281490627895,0.3372769861924053,21,0.2111931800009188,"{'structure': 'additive', 'G_star': 5, 'criterion': 'bic'}",False,False,,351.25390625,354.26171875,False
white_wine,bic_spline,spline,2,2500,2000,500,11,5129-185601-qvgdtemg-172-21-0-112,77149,349.91015625,0.7041723540683946,0.5577754037134678,0.3259089170764597,0.8007183192389618,21,0.4989233780015638,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,355.65625,355.65625,False
space_ga,bic_spline,spline,3,2500,2000,500,6,5129-185601-qvgdtemg-172-21-0-112,77210,349.33203125,0.1240587795741954,0.0802950698220982,0.6279643463086017,0.6146955928737453,25,0.4363020189994131,"{'structure': 'additive', 'G_star': 5, 'criterion': 'bic'}",False,False,,349.35546875,359.0390625,False
california_housing,bic_spline,spline,1,2500,2000,500,8,5129-185601-qvgdtemg-172-21-0-112,77179,348.71484375,62520.80642220465,46068.92333041883,0.6906138032624961,0.559867390259064,23,0.5009595379997336,"{'structure': 'additive', 'G_star': 3, 'criterion': 'bic'}",False,False,,350.35546875,350.35546875,False
cars,bic_spline,spline,0,804,643,161,17,5129-185601-qvgdtemg-172-21-0-112,77211,349.25,2962.464435659032,2164.018294033489,0.91576380629016,0.3025658506428528,21,0.6732636779997847,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,444.1875,357.3984375,False
physiochemical_protein,bic_spline,spline,3,2500,2000,500,9,5129-185601-qvgdtemg-172-21-0-112,77169,350.6953125,5.248141184425721,4.274751259507076,0.2825823877816615,0.8508947678947567,22,0.5057663080006023,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,389.22265625,351.9296875,False
naval_propulsion_plant,bic_spline,spline,3,2500,2000,500,14,5129-185601-qvgdtemg-172-21-0-112,77137,342.68359375,3.577236219456091e-05,2.1615530646215576e-05,0.9999941707930728,0.002433195608784,21,0.8352443280000443,"{'structure': 'additive', 'G_star': 15, 'criterion': 'bic'}",False,False,,357.28125,348.75,False
cps88wages,bic_spline,spline,4,2500,2000,500,12,5129-185601-qvgdtemg-172-21-0-112,77151,341.5234375,328.08238809889593,229.5839207100804,0.3678105034134638,0.7983128444830684,21,0.5743668680006522,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,372.58203125,346.40234375,False
kin8nm,bic_spline,spline,4,2500,2000,500,8,5129-185601-qvgdtemg-172-21-0-112,77195,348.5859375,0.1797666460180726,0.149030663818038,0.5101846133485464,0.6798734449498697,23,0.50134621899997,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,350.1640625,350.1640625,False
kin8nm,bic_spline,spline,0,2500,2000,500,8,5129-185601-qvgdtemg-172-21-0-112,77182,351.046875,0.1849310268732337,0.1474925049619773,0.4637165683954476,0.6965532941640546,23,0.4965561690005415,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,351.0703125,352.6875,False
space_ga,bic_spline,spline,1,2500,2000,500,6,5129-185601-qvgdtemg-172-21-0-112,77200,350.2421875,0.1144727561427224,0.083532984988561,0.6699486395688932,0.5643634050078664,25,0.4563950589999876,"{'structure': 'additive', 'G_star': 5, 'criterion': 'bic'}",False,False,,350.265625,362.171875,False
california_housing,bic_spline,spline,0,2500,2000,500,8,5129-185601-qvgdtemg-172-21-0-112,77178,351.60546875,56980.56204993541,42759.66577681306,0.7008348372377147,0.5013111680123505,23,0.5021250390000205,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,353.24609375,353.24609375,False
red_wine,bic_spline,spline,1,1599,1279,320,11,5129-185601-qvgdtemg-172-21-0-112,77196,349.8359375,0.6635545623289745,0.5254888848742059,0.3491657010218557,0.8258649902554831,21,0.4170641689997865,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,349.859375,354.12109375,False
kin8nm,bic_spline,spline,3,2500,2000,500,8,5129-185601-qvgdtemg-172-21-0-112,77192,351.33203125,0.1930760331484395,0.1565591902821395,0.4542938591676108,0.7340791982387475,23,0.5207943890000024,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,374.85546875,352.9609375,False
cars,bic_spline,spline,1,804,643,161,17,5129-185601-qvgdtemg-172-21-0-112,77236,348.07421875,2753.71105181079,2010.2683680706616,0.9239022364283088,0.2798762750793728,21,0.6705405480006448,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,443.01171875,356.22265625,False
physiochemical_protein,bic_spline,spline,0,2500,2000,500,9,5129-185601-qvgdtemg-172-21-0-112,77156,349.6953125,5.062544196438078,4.1714307031909446,0.3307902807287668,0.8208548574868071,22,0.5488877190000494,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,378.921875,350.984375,False
white_wine,bic_spline,spline,1,2500,2000,500,11,5129-185601-qvgdtemg-172-21-0-112,77158,351.8515625,0.7282518444119216,0.5696913344784452,0.3157788654996599,0.8334399221869723,21,0.5033622689988988,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,378.046875,357.38671875,False
grid_stability,bic_spline,spline,1,2500,2000,500,12,5129-185601-qvgdtemg-172-21-0-112,77147,347.15234375,0.0177499166616806,0.0139613436254301,0.7673989659262678,0.4884495420099871,21,0.5776521690004301,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,380.36328125,354.609375,False
cps88wages,bic_spline,spline,3,2500,2000,500,12,5129-185601-qvgdtemg-172-21-0-112,77144,341.21484375,299.95030090712777,222.13824227483187,0.3761323282103926,0.716282714015408,21,0.587535738999577,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,369.82421875,346.05859375,False
grid_stability,bic_spline,spline,0,2500,2000,500,12,5129-185601-qvgdtemg-172-21-0-112,77160,349.5859375,0.0180655708569031,0.0140288231395544,0.7618096317464547,0.4975940173371403,21,0.5855604989992571,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,383.109375,359.7265625,False
cps88wages,bic_spline,spline,2,2500,2000,500,12,5129-185601-qvgdtemg-172-21-0-112,77138,348.00390625,303.1381979007082,222.77342794364253,0.400349270604142,0.7287859111650634,21,0.5847595689992886,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,379.625,355.73046875,False
physiochemical_protein,bic_spline,spline,4,2500,2000,500,9,5129-185601-qvgdtemg-172-21-0-112,77172,348.5390625,4.994095128520178,4.136317695803768,0.3651012212435202,0.8120725502826861,22,0.5381435990002501,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,377.85546875,349.91796875,False
cars,bic_spline,spline,3,804,643,161,17,5129-185601-qvgdtemg-172-21-0-112,77229,348.4609375,3022.2585534000523,2182.404575084329,0.9077423834474394,0.3066287855947556,21,0.6689532580003288,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,443.42578125,356.63671875,False
abalone,bic_spline,spline,3,2500,2000,500,10,5129-185601-qvgdtemg-172-21-0-112,77175,350.10546875,2.1606680078700515,1.566028311075402,0.5407774099953396,0.6631203698565081,22,0.6557773589993303,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,367.75,351.83203125,False
abalone,bic_spline,spline,4,2500,2000,500,10,5129-185601-qvgdtemg-172-21-0-112,77141,347.921875,2.1139485576789347,1.5010148936412455,0.5816018426804079,0.652922776246139,22,0.6405655090002256,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,367.5546875,351.63671875,False
space_ga,bic_spline,spline,0,2500,2000,500,6,5129-185601-qvgdtemg-172-21-0-112,77181,348.21875,0.1043837095749298,0.0780360644870294,0.7057598077836957,0.5104556396430464,25,0.4846134290000918,"{'structure': 'additive', 'G_star': 5, 'criterion': 'bic'}",False,False,,348.2421875,364.17578125,False
physiochemical_protein,bic_spline,spline,1,2500,2000,500,9,5129-185601-qvgdtemg-172-21-0-112,77173,349.16796875,5.172028661674111,4.318056733636797,0.3313694553901553,0.8431418846634154,22,0.5833791690001817,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,360.90625,350.46875,False
naval_propulsion_plant,bic_spline,spline,1,2500,2000,500,14,5129-185601-qvgdtemg-172-21-0-112,77143,347.4140625,3.427341172965152e-05,2.263918630231188e-05,0.999994437360886,0.0023202030354869,21,0.7816744379997544,"{'structure': 'additive', 'G_star': 12, 'criterion': 'bic'}",False,False,,357.59765625,353.33984375,False
naval_propulsion_plant,bic_spline,spline,2,2500,2000,500,14,5129-185601-qvgdtemg-172-21-0-112,77164,341.08984375,0.0003203347092806,4.430882288010985e-05,0.999547104136315,0.0218749881965051,21,0.8138884170002711,"{'structure': 'additive', 'G_star': 12, 'criterion': 'bic'}",False,False,,355.69140625,347.16015625,False
miami_housing,bic_spline,spline,0,2500,2000,500,15,5129-185601-qvgdtemg-172-21-0-112,77136,348.375,150624.46101335058,88793.17670514315,0.7968954970094696,0.4761310469378464,21,0.8866496970003936,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,356.66796875,352.87890625,False
naval_propulsion_plant,bic_spline,spline,0,2500,2000,500,14,5129-185601-qvgdtemg-172-21-0-112,77125,350.1015625,4.6151147133541617e-05,2.216678248860893e-05,0.9999899406595054,0.0031246637069663,21,0.8149194380002882,"{'structure': 'additive', 'G_star': 14, 'criterion': 'bic'}",False,False,,357.83203125,354.0,False
miami_housing,bic_spline,spline,2,2500,2000,500,15,5129-185601-qvgdtemg-172-21-0-112,77139,350.23828125,130584.81467525174,85717.88308665114,0.821821365927377,0.4048141530809163,21,0.931359247000728,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,353.97265625,354.77734375,False
miami_housing,bic_spline,spline,1,2500,2000,500,15,5129-185601-qvgdtemg-172-21-0-112,77134,349.62109375,143089.3221120002,85195.47288941927,0.8387325310395339,0.4613487701278019,21,0.9014939179996873,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,353.80078125,354.1484375,False
miami_housing,bic_spline,spline,4,2500,2000,500,15,5129-185601-qvgdtemg-172-21-0-112,77135,350.29296875,133679.24325811988,84849.74585125595,0.8584746824870251,0.4306073938164653,21,0.9065490980010508,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,354.51953125,354.8671875,False
auction_verification,bic_spline,spline,1,2043,1634,409,16,5129-185601-qvgdtemg-172-21-0-112,77155,351.6640625,5254.917502780196,4043.321599668656,0.7474323438999781,0.5076374754662275,21,0.8680319279992545,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,358.2578125,356.96484375,False
forest_fires,bic_spline,spline,1,517,413,104,29,5129-185601-qvgdtemg-172-21-0-112,77247,350.359375,44.02278353688991,26.03818309888409,-0.4934553930267908,0.6397676379770277,21,5.2405812769993645,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,1057.37109375,369.1484375,False
forest_fires,bic_spline,spline,0,517,413,104,29,5129-185601-qvgdtemg-172-21-0-112,77221,347.8359375,109.90981118552526,27.88552994646882,-0.0025219533123819,2.4499404122574338,21,5.157063676999314,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,1054.90625,366.6796875,False
solar_flare,bic_spline,spline,3,1066,852,214,29,5129-185601-qvgdtemg-172-21-0-112,77189,351.5625,0.7538159294992987,0.4023289946626782,0.2126872504419757,0.906257091632687,21,5.660319695998624,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,1080.78125,370.40625,False
forest_fires,bic_spline,spline,4,517,413,104,29,5129-185601-qvgdtemg-172-21-0-112,77246,349.13671875,30.1652335381992,20.590226322767133,-0.7796156359720474,0.429766945007412,21,5.151008617000116,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,1056.203125,367.9765625,False
solar_flare,bic_spline,spline,2,1066,852,214,29,5129-185601-qvgdtemg-172-21-0-112,77204,346.8046875,0.6224817511277878,0.3663097737793158,0.1395851550529471,0.7143483378489848,21,5.6220842549992085,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,1076.02734375,365.65234375,False
forest_fires,bic_spline,spline,3,517,413,104,29,5129-185601-qvgdtemg-172-21-0-112,77218,348.41796875,31.117997726646355,21.378313928056507,-0.7635985788169828,0.4436777069967096,21,5.148185207001006,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,1055.44140625,367.21484375,False
forest_fires,bic_spline,spline,2,517,413,104,29,5129-185601-qvgdtemg-172-21-0-112,77208,351.53125,43.337260927023856,26.75797776212909,-0.3642216908704445,0.6310715300666198,21,5.204468796999208,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,1058.578125,370.3515625,False
solar_flare,bic_spline,spline,0,1066,852,214,29,5129-185601-qvgdtemg-172-21-0-112,77197,348.75390625,0.6732955368917966,0.3446279093977882,0.1590830445395615,0.78442175738084,21,5.635752905000118,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,1079.98046875,369.60546875,False
solar_flare,bic_spline,spline,1,1066,852,214,29,5129-185601-qvgdtemg-172-21-0-112,77187,344.32421875,0.6385356064726136,0.3941247088716971,-0.0237005865517776,0.727056111520721,21,5.627427405999697,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,1075.609375,365.234375,False
solar_flare,bic_spline,spline,4,1066,852,214,29,5129-185601-qvgdtemg-172-21-0-112,77205,351.00390625,0.6929470563479504,0.3690520820916911,0.2294981490403834,0.819147143799915,21,5.625113826001325,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,1080.19921875,369.8203125,False
student_performance_por,bic_spline,spline,1,649,519,130,56,5129-185601-qvgdtemg-172-21-0-112,77212,351.81640625,2.8631711046781927,2.1546909737661184,-6.888154582496142e-06,0.864144760932258,0,9.255323257000782,,False,True,rss advisory exceeded: peak=9905MiB advisory=8000MiB t=9.3s,9905.11328125,5188.09765625,True
student_performance_por,bic_spline,spline,2,649,519,130,56,5129-185601-qvgdtemg-172-21-0-112,77233,349.03125,3.2966232871751777,2.316362827923522,-0.0286737469462705,1.0259765508005363,0,9.402890745999684,,False,True,rss advisory exceeded: peak=9902MiB advisory=8000MiB t=9.4s,9901.80859375,5185.30859375,True
student_performance_por,bic_spline,spline,3,649,519,130,56,5129-185601-qvgdtemg-172-21-0-112,77209,347.08203125,3.056520830381216,2.2184822884244846,-0.0001026231417649,0.9347853450053658,0,9.439151274998949,,False,True,rss advisory exceeded: peak=9900MiB advisory=8000MiB t=9.4s,9899.86328125,5183.36328125,True
student_performance_por,bic_spline,spline,0,649,519,130,56,5129-185601-qvgdtemg-172-21-0-112,77199,332.98046875,2.6761993605629506,2.145264562027568,-0.0544436051831667,0.7976780980286283,0,9.476664675999928,,False,True,rss advisory exceeded: peak=9888MiB advisory=8000MiB t=9.5s,9887.96484375,5171.46484375,True
student_performance_por,bic_spline,spline,4,649,519,130,56,5129-185601-qvgdtemg-172-21-0-112,77223,351.44921875,3.3167257936407526,2.5074107010523194,-1.2494469938451049e-05,1.034665581321489,0,9.51805846499883,,False,True,rss advisory exceeded: peak=9904MiB advisory=8000MiB t=9.5s,9904.0546875,5187.5546875,True
socmob,bic_spline,spline,1,1156,924,232,39,5129-185601-qvgdtemg-172-21-0-112,77167,346.6640625,15.633483426012123,10.202819575313312,0.7337973011758869,0.36186113491971,21,26.60661966100088,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,2666.46484375,379.58203125,False
socmob,bic_spline,spline,2,1156,924,232,39,5129-185601-qvgdtemg-172-21-0-112,77174,349.65625,20.983284060455496,11.408886580609645,0.785855210145108,0.5272400232006529,21,26.83939416100111,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,2667.4140625,380.5234375,False
socmob,bic_spline,spline,3,1156,924,232,39,5129-185601-qvgdtemg-172-21-0-112,77177,349.33203125,20.2317092212716,9.79383158190394,0.6812669324657334,0.479777212289265,21,26.49032281200016,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,2667.0234375,380.140625,False
socmob,bic_spline,spline,0,1156,924,232,39,5129-185601-qvgdtemg-172-21-0-112,77180,349.3515625,12.40300457533689,8.934236863541377,0.7979171006409936,0.2842270603837714,21,26.84360826199918,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,2667.0625,380.17578125,False
socmob,bic_spline,spline,4,1156,924,232,39,5129-185601-qvgdtemg-172-21-0-112,77184,352.03125,20.889919398335014,11.40846456670273,0.7856541345899922,0.523923361101633,21,27.23606049000045,"{'structure': 'additive', 'G_star': 2, 'criterion': 'bic'}",False,False,,2669.73046875,382.828125,False
fifa,bic_spline,spline,3,2500,2000,500,190,5129-185601-qvgdtemg-172-21-0-112,77098,349.359375,18918.385524140267,10095.308,-0.0001235845189229,0.8894939619274068,0,34.061073692999344,,False,True,rss advisory exceeded: peak=9022MiB advisory=8000MiB t=34.1s,9021.50390625,4760.34375,True
fifa,bic_spline,spline,0,2500,2000,500,190,5129-185601-qvgdtemg-172-21-0-112,77095,351.17578125,17032.713659473786,9730.4435,-0.0046927509081606,0.7861864215815239,0,34.11219475300095,,False,True,rss advisory exceeded: peak=8475MiB advisory=8000MiB t=34.1s,8475.38671875,4760.2265625,True
Moneyball,bic_spline,spline,0,1232,985,247,72,5129-185601-qvgdtemg-172-21-0-112,77133,345.71484375,94.31689038494616,74.3305657740603,-3.102934317333883e-05,1.0390023867992118,0,35.9581527270002,,False,True,rss advisory exceeded: peak=13629MiB advisory=8000MiB t=36.0s,13628.88671875,688.1484375,True
Moneyball,bic_spline,spline,1,1232,985,247,72,5129-185601-qvgdtemg-172-21-0-112,77129,348.20703125,92.4681466953502,74.1730450687437,-0.0021471964583308,1.013271018373689,0,35.915303847999894,,False,True,rss advisory exceeded: peak=13631MiB advisory=8000MiB t=35.9s,13631.35546875,690.60546875,True
Moneyball,bic_spline,spline,2,1232,985,247,72,5129-185601-qvgdtemg-172-21-0-112,77140,349.8359375,95.7734854488168,75.43507675866745,-0.028974415860266,1.05868148989986,0,36.08506898800079,,False,True,rss advisory exceeded: peak=13633MiB advisory=8000MiB t=36.1s,13633.1484375,692.19140625,True
Moneyball,bic_spline,spline,4,1232,985,247,72,5129-185601-qvgdtemg-172-21-0-112,77142,348.44921875,88.68224171428233,70.17803489590827,-0.0004942557762515,0.9619446492434346,0,36.21140903699961,,False,True,rss advisory exceeded: peak=13632MiB advisory=8000MiB t=36.2s,13631.68359375,690.8359375,True
Moneyball,bic_spline,spline,3,1232,985,247,72,5129-185601-qvgdtemg-172-21-0-112,77130,348.7734375,93.87003731228914,74.45901066606382,-0.0028704569255075,1.0326808726683196,0,36.16185530700022,,False,True,rss advisory exceeded: peak=13632MiB advisory=8000MiB t=36.2s,13631.95703125,691.0859375,True
