dataset,method,family,seed,n_total,n_train,n_test,d,host,pid,rss_start_mb,rmse_test,mae_test,r2_test,nrmse_test,n_fits,fit_time_s,best_hp,used_defaults,used_constant_predictor,error,rss_peak_mb,rss_end_mb,rss_advisory_exceeded
sarcos,catboost,tree,0,2500,2000,500,21,5129-185601-qvgdtemg-172-21-0-50,56384,351.5,4.881611619039911,3.33006030231961,0.9214699351042106,0.2382595519951187,4,220.4517946349997,"{'depth': 7, 'learning_rate': 0.13619406860195024, 'l2_leaf_reg': 7.768811685516967, 'random_strength': 5.448831829968968, 'bagging_temperature': 2.1182739966945237}",False,False,,446.6328125,455.26953125,False
sarcos,catboost,tree,3,2500,2000,500,21,5129-185601-qvgdtemg-172-21-0-50,56436,350.31640625,5.13774302228864,3.39363013873914,0.9392593704942558,0.2611647566637222,4,222.0680464119996,"{'depth': 7, 'learning_rate': 0.12964371541060518, 'l2_leaf_reg': 2.689685941170981, 'random_strength': 5.10827605197663, 'bagging_temperature': 4.464734771738273}",False,False,,426.4453125,427.0,False
superconductivity,catboost,tree,0,2500,2000,500,81,5129-185601-qvgdtemg-172-21-0-50,56387,350.1796875,12.156956162216089,8.098317742843731,0.8743472808760221,0.3522238234379652,4,224.02170920699973,"{'depth': 7, 'learning_rate': 0.13619406860195024, 'l2_leaf_reg': 7.768811685516967, 'random_strength': 5.448831829968968, 'bagging_temperature': 2.1182739966945237}",False,False,,491.7890625,495.6875,False
health_insurance,catboost,tree,0,2500,2000,500,25,5129-185601-qvgdtemg-172-21-0-50,56410,349.87890625,14.62057710232488,11.697916780221083,0.3787989423364529,0.7797509697227598,7,244.32649359700008,"{'depth': 8, 'learning_rate': 0.019508802184929567, 'l2_leaf_reg': 20.761410420015302, 'random_strength': 9.636627605010293, 'bagging_temperature': 1.9172075941288886}",False,False,,424.5234375,413.77734375,False
video_transcoding,catboost,tree,0,2500,2000,500,24,5129-185601-qvgdtemg-172-21-0-50,56407,342.97265625,4.31920285235359,1.6065950552614896,0.9225834985557588,0.2956540030669048,4,291.6290056580001,"{'depth': 7, 'learning_rate': 0.13619406860195024, 'l2_leaf_reg': 7.768811685516967, 'random_strength': 5.448831829968968, 'bagging_temperature': 2.1182739966945237}",False,False,,421.29296875,417.28515625,False
brazilian_houses,catboost,tree,0,2500,2000,500,49,5129-185601-qvgdtemg-172-21-0-50,56391,352.98046875,2391.709432530868,1453.4241434375467,0.7268469431721232,0.2792369285344371,7,302.98751010700016,"{'depth': 8, 'learning_rate': 0.019508802184929567, 'l2_leaf_reg': 20.761410420015302, 'random_strength': 9.636627605010293, 'bagging_temperature': 1.9172075941288886}",False,False,,442.875,406.51953125,False
wave_energy,catboost,tree,0,2500,2000,500,48,5129-185601-qvgdtemg-172-21-0-50,56364,350.55859375,33566.51113747659,24687.65043195162,0.9032809256894928,0.3034748243594432,4,321.126999092,"{'depth': 7, 'learning_rate': 0.13619406860195024, 'l2_leaf_reg': 7.768811685516967, 'random_strength': 5.448831829968968, 'bagging_temperature': 2.1182739966945237}",False,False,,471.13671875,466.2109375,False
wave_energy,catboost,tree,3,2500,2000,500,48,5129-185601-qvgdtemg-172-21-0-50,56394,352.1875,32120.14286537284,23918.982486552683,0.9106311723986472,0.2902794241212845,4,352.5355896410001,"{'depth': 7, 'learning_rate': 0.12964371541060518, 'l2_leaf_reg': 2.689685941170981, 'random_strength': 5.10827605197663, 'bagging_temperature': 4.464734771738273}",False,False,,469.1640625,464.96875,False
fifa,catboost,tree,0,2500,2000,500,190,5129-185601-qvgdtemg-172-21-0-50,56363,353.265625,9764.72650580332,4199.722980046176,0.6697934029235684,0.4507147564856639,7,355.16715504700005,"{'depth': 7, 'learning_rate': 0.13619406860195024, 'l2_leaf_reg': 7.768811685516967, 'random_strength': 5.448831829968968, 'bagging_temperature': 2.1182739966945237}",False,False,,460.03515625,423.2890625,False
fifa,catboost,tree,1,2500,2000,500,190,5129-185601-qvgdtemg-172-21-0-50,56373,351.59375,15593.314294273683,9569.4664,-0.0157662494627199,0.7108219289299504,0,368.6418026930005,,False,True,cell timed out after 360s,410.21484375,398.62109375,False
fps_benchmark,catboost,tree,2,2500,2000,500,125,5129-185601-qvgdtemg-172-21-0-50,56368,353.1171875,50.15291861838651,38.5657302,-0.0020627047527985,0.9203193200898648,0,370.13331085999926,,False,True,cell timed out after 360s,433.8359375,422.15625,False
naval_propulsion_plant,catboost,tree,1,2500,2000,500,14,5129-185601-qvgdtemg-172-21-0-50,56437,352.4921875,0.0145472222864023,0.01260288,-0.0021352967686376,0.9848015590934766,0,388.8471904340004,,False,True,cell timed out after 360s,428.76171875,406.921875,False
Moneyball,catboost,tree,2,1232,985,247,72,5129-185601-qvgdtemg-172-21-0-50,56430,351.82421875,95.7734854488168,75.43507675866745,-0.028974415860266,1.05868148989986,0,408.285699213,,False,True,cell timed out after 360s,413.33203125,397.984375,False
kings_county,catboost,tree,2,2500,2000,500,132,5129-185601-qvgdtemg-172-21-0-50,56367,342.23046875,340151.69806308224,224695.297872,-0.0009937057616828,1.0369537689839805,0,410.27757996699984,,False,True,cell timed out after 360s,411.08984375,390.65234375,False
video_transcoding,catboost,tree,2,2500,2000,500,24,5129-185601-qvgdtemg-172-21-0-50,56409,352.1875,16.04379801085195,8.880221704,-0.0003656641639486,1.1088067619507518,0,412.9710826640003,,False,True,cell timed out after 360s,413.89453125,398.33984375,False
brazilian_houses,catboost,tree,1,2500,2000,500,49,5129-185601-qvgdtemg-172-21-0-50,56380,354.53125,4316.732989450037,3399.137236,-0.0012089422379135,0.5019850481115208,0,414.28097941299984,,False,True,cell timed out after 360s,405.04296875,394.546875,False
miami_housing,catboost,tree,2,2500,2000,500,15,5129-185601-qvgdtemg-172-21-0-50,56413,352.81640625,309661.8888386455,197266.290798,-0.0019493969907855,0.9599547664358736,0,415.3678756139998,,False,True,cell timed out after 360s,422.75,415.671875,False
health_insurance,catboost,tree,2,2500,2000,500,25,5129-185601-qvgdtemg-172-21-0-50,56408,354.0859375,18.71433002407513,17.024362,-0.0004311423462781,1.000214388301093,0,416.3903843859998,,False,True,cell timed out after 360s,419.0859375,409.60546875,False
cpu_activity,catboost,tree,2,2500,2000,500,21,5129-185601-qvgdtemg-172-21-0-50,56406,350.30078125,20.07449100226454,11.649116,-0.0035562184615884,1.0399636884557413,0,420.59592998100015,,False,True,cell timed out after 360s,425.33203125,406.05859375,False
naval_propulsion_plant,catboost,tree,3,2500,2000,500,14,5129-185601-qvgdtemg-172-21-0-50,56438,351.80859375,0.0148269289554513,0.01282874,-0.0014208904279631,1.0085109345013614,0,421.6070924010001,,False,True,cell timed out after 360s,432.953125,408.66015625,False
diamonds,catboost,tree,2,2500,2000,500,26,5129-185601-qvgdtemg-172-21-0-50,56386,352.35546875,3890.2226179389786,2989.527352,-0.0040085526938171,0.9906697224519808,0,426.1365018059996,,False,True,cell timed out after 360s,417.43359375,397.51171875,False
fps_benchmark,catboost,tree,1,2500,2000,500,125,5129-185601-qvgdtemg-172-21-0-50,56366,353.91015625,50.20638766892616,39.903116,-0.0174331731829653,0.9212137762290722,0,426.7127831710004,,False,True,cell timed out after 360s,432.12890625,424.19140625,False
fifa,catboost,tree,2,2500,2000,500,190,5129-185601-qvgdtemg-172-21-0-50,56362,342.12890625,20171.41944930996,10341.4632,-0.0006796700142641,0.9614989468933208,0,427.0622736770001,,False,True,cell timed out after 360s,426.03515625,407.5234375,False
naval_propulsion_plant,catboost,tree,2,2500,2000,500,14,5129-185601-qvgdtemg-172-21-0-50,56427,353.765625,0.0150523997090165,0.013026192,-4.241444076180656e-06,1.0278969353750274,0,427.7289481509997,,False,True,cell timed out after 360s,417.6953125,412.0625,False
diamonds,catboost,tree,4,2500,2000,500,26,5129-185601-qvgdtemg-172-21-0-50,56404,351.76953125,3789.917686471864,2917.850548,-0.0027683778587028,0.9591873036811042,0,428.2216575769999,,False,True,cell timed out after 360s,694.62890625,650.35546875,False
brazilian_houses,catboost,tree,3,2500,2000,500,49,5129-185601-qvgdtemg-172-21-0-50,56383,353.26171875,4566.146603659589,3494.9631039999995,-0.0055327003239538,0.5329719728346336,0,429.08657761,,False,True,cell timed out after 360s,592.7265625,548.921875,False
Moneyball,catboost,tree,1,1232,985,247,72,5129-185601-qvgdtemg-172-21-0-50,56388,348.28515625,92.4681466953502,74.1730450687437,-0.0021471964583308,1.013271018373689,0,430.6330328570002,,False,True,cell timed out after 360s,398.57421875,394.04296875,False
brazilian_houses,catboost,tree,2,2500,2000,500,49,5129-185601-qvgdtemg-172-21-0-50,56361,345.5625,4656.978421866694,3562.482616,-0.0002873720708578,0.5443714470457901,0,432.0983447159997,,False,True,cell timed out after 360s,409.09765625,391.38671875,False
fifa,catboost,tree,4,2500,2000,500,190,5129-185601-qvgdtemg-172-21-0-50,56370,353.72265625,13369.136988321274,9125.755,-0.0173309140871773,0.5995063860732938,0,433.12920671699976,,False,True,cell timed out after 360s,629.875,621.8515625,False
health_insurance,catboost,tree,1,2500,2000,500,25,5129-185601-qvgdtemg-172-21-0-50,56401,353.19140625,18.434928864793594,16.755881999999996,-0.0001194865599782,0.9816576174092492,0,437.6524656299998,,False,True,cell timed out after 360s,410.86328125,401.19140625,False
sarcos,catboost,tree,2,2500,2000,500,21,5129-185601-qvgdtemg-172-21-0-50,56424,351.1171875,19.50331387022593,14.909535763762,-0.0014871617453484,0.9744479912398613,0,444.2163560859999,,False,True,cell timed out after 360s,445.54296875,435.63671875,False
diamonds,catboost,tree,1,2500,2000,500,26,5129-185601-qvgdtemg-172-21-0-50,56400,352.73828125,699.9110375915207,388.46149528209946,0.9674227904370656,0.1781167993386339,4,446.2806168390007,"{'depth': 6, 'learning_rate': 0.14117873801313857, 'l2_leaf_reg': 1.000389087004001, 'random_strength': 3.0233257263183977, 'bagging_temperature': 0.7337794540855652}",False,False,,404.078125,406.73046875,False
pumadyn32nh,catboost,tree,3,2500,2000,500,32,5129-185601-qvgdtemg-172-21-0-50,56399,352.640625,0.0232283953146674,0.01834102305175,0.5805888979573939,0.6402104987988922,4,447.781653307,"{'depth': 7, 'learning_rate': 0.12964371541060518, 'l2_leaf_reg': 2.689685941170981, 'random_strength': 5.10827605197663, 'bagging_temperature': 4.464734771738273}",False,False,,626.8125,561.83203125,False
Moneyball,catboost,tree,3,1232,985,247,72,5129-185601-qvgdtemg-172-21-0-50,56433,351.125,22.24416778910141,17.896034551211187,0.9436851176044015,0.2447120216625552,4,448.6505034289994,"{'depth': 7, 'learning_rate': 0.12964371541060518, 'l2_leaf_reg': 2.689685941170981, 'random_strength': 5.10827605197663, 'bagging_temperature': 4.464734771738273}",False,False,,645.328125,592.07421875,False
cpu_activity,catboost,tree,1,2500,2000,500,21,5129-185601-qvgdtemg-172-21-0-50,56378,351.390625,3.845899261068368,2.033516159656482,0.9608344934404514,0.1976672294256267,4,450.676309853,"{'depth': 6, 'learning_rate': 0.14117873801313857, 'l2_leaf_reg': 1.000389087004001, 'random_strength': 3.0233257263183977, 'bagging_temperature': 0.7337794540855652}",False,False,,401.09765625,407.703125,False
miami_housing,catboost,tree,3,2500,2000,500,15,5129-185601-qvgdtemg-172-21-0-50,56422,352.37109375,99568.77044245988,54388.25710003094,0.9008849890966506,0.3102834034558601,4,453.25147588100026,"{'depth': 7, 'learning_rate': 0.12964371541060518, 'l2_leaf_reg': 2.689685941170981, 'random_strength': 5.10827605197663, 'bagging_temperature': 4.464734771738273}",False,False,,605.71875,547.4140625,False
diamonds,catboost,tree,3,2500,2000,500,26,5129-185601-qvgdtemg-172-21-0-50,56395,353.5,696.0876988067206,390.2454047220357,0.9674304978760792,0.17691389444824,4,454.2131843429997,"{'depth': 7, 'learning_rate': 0.12964371541060518, 'l2_leaf_reg': 2.689685941170981, 'random_strength': 5.10827605197663, 'bagging_temperature': 4.464734771738273}",False,False,,610.80859375,557.82421875,False
superconductivity,catboost,tree,1,2500,2000,500,81,5129-185601-qvgdtemg-172-21-0-50,56381,349.234375,11.767195258189725,7.678113347523611,0.89041834017643,0.3440091375417693,4,454.367933902,"{'depth': 6, 'learning_rate': 0.14117873801313857, 'l2_leaf_reg': 1.000389087004001, 'random_strength': 3.0233257263183977, 'bagging_temperature': 0.7337794540855652}",False,False,,436.96484375,443.15234375,False
pumadyn32nh,catboost,tree,4,2500,2000,500,32,5129-185601-qvgdtemg-172-21-0-50,56389,351.2578125,0.0218032152036609,0.017046477635035,0.6235844767624739,0.5998026125147436,1,456.1578940270001,{},True,False,,702.8359375,693.39453125,False
cpu_activity,catboost,tree,3,2500,2000,500,21,5129-185601-qvgdtemg-172-21-0-50,56417,352.1328125,3.811328129491759,2.306161570115597,0.9642417372483466,0.1977163886669876,4,456.294856296,"{'depth': 7, 'learning_rate': 0.12964371541060518, 'l2_leaf_reg': 2.689685941170981, 'random_strength': 5.10827605197663, 'bagging_temperature': 4.464734771738273}",False,False,,666.99609375,639.4140625,False
kings_county,catboost,tree,1,2500,2000,500,132,5129-185601-qvgdtemg-172-21-0-50,56360,344.1171875,123226.44945333814,70221.2934649821,0.8595983562613094,0.3725934658371823,4,457.24683106799966,"{'depth': 6, 'learning_rate': 0.14117873801313857, 'l2_leaf_reg': 1.000389087004001, 'random_strength': 3.0233257263183977, 'bagging_temperature': 0.7337794540855652}",False,False,,413.234375,413.2265625,False
pumadyn32nh,catboost,tree,1,2500,2000,500,32,5129-185601-qvgdtemg-172-21-0-50,56411,352.5,0.0232260747210199,0.0185777240309639,0.5723384814688625,0.638980901657178,4,458.08446243100025,"{'depth': 6, 'learning_rate': 0.14117873801313857, 'l2_leaf_reg': 1.000389087004001, 'random_strength': 3.0233257263183977, 'bagging_temperature': 0.7337794540855652}",False,False,,410.9375,419.87890625,False
health_insurance,catboost,tree,3,2500,2000,500,25,5129-185601-qvgdtemg-172-21-0-50,56420,351.8125,15.10759725381309,11.712049573784991,0.3429093695682206,0.8070085153588641,4,458.594167839,"{'depth': 7, 'learning_rate': 0.12964371541060518, 'l2_leaf_reg': 2.689685941170981, 'random_strength': 5.10827605197663, 'bagging_temperature': 4.464734771738273}",False,False,,603.33203125,561.80859375,False
geographical_origin_of_music,catboost,tree,3,1059,847,212,116,5129-185601-qvgdtemg-172-21-0-50,56418,353.23828125,15.232052936927753,12.113270050119342,0.2629019577128697,0.8187784212365744,4,459.1308300619994,"{'depth': 7, 'learning_rate': 0.12964371541060518, 'l2_leaf_reg': 2.689685941170981, 'random_strength': 5.10827605197663, 'bagging_temperature': 4.464734771738273}",False,False,,562.796875,569.65234375,False
fifa,catboost,tree,3,2500,2000,500,190,5129-185601-qvgdtemg-172-21-0-50,56359,352.4921875,9582.41985742544,4487.915209144997,0.7434122506275631,0.4505408029113815,4,460.1792404040007,"{'depth': 7, 'learning_rate': 0.12964371541060518, 'l2_leaf_reg': 2.689685941170981, 'random_strength': 5.10827605197663, 'bagging_temperature': 4.464734771738273}",False,False,,642.2578125,584.67578125,False
Moneyball,catboost,tree,4,1232,985,247,72,5129-185601-qvgdtemg-172-21-0-50,56428,349.79296875,21.96935887578286,16.814849002790126,0.938598915691128,0.2383037100703392,1,461.0842406560005,{},True,False,,787.9921875,752.93359375,False
sarcos,catboost,tree,1,2500,2000,500,21,5129-185601-qvgdtemg-172-21-0-50,56397,352.453125,4.806755093951152,3.232205827862284,0.934873258070102,0.2382807586929703,4,462.95451946999947,"{'depth': 6, 'learning_rate': 0.14117873801313857, 'l2_leaf_reg': 1.000389087004001, 'random_strength': 3.0233257263183977, 'bagging_temperature': 0.7337794540855652}",False,False,,417.18359375,419.96484375,False
wave_energy,catboost,tree,1,2500,2000,500,48,5129-185601-qvgdtemg-172-21-0-50,56382,353.5,27707.79484946478,21144.663925268047,0.9325706533493276,0.2498426926172479,4,465.5090006889996,"{'depth': 6, 'learning_rate': 0.14117873801313857, 'l2_leaf_reg': 1.000389087004001, 'random_strength': 3.0233257263183977, 'bagging_temperature': 0.7337794540855652}",False,False,,429.0546875,436.18359375,False
kings_county,catboost,tree,3,2500,2000,500,132,5129-185601-qvgdtemg-172-21-0-50,56377,350.265625,124158.01658163844,70919.71338488626,0.8539335170558094,0.3741130860470873,4,466.8437921499999,"{'depth': 7, 'learning_rate': 0.12964371541060518, 'l2_leaf_reg': 2.689685941170981, 'random_strength': 5.10827605197663, 'bagging_temperature': 4.464734771738273}",False,False,,619.6171875,572.3828125,False
pumadyn32nh,catboost,tree,0,2500,2000,500,32,5129-185601-qvgdtemg-172-21-0-50,56396,351.64453125,0.0244794436400414,0.0192245745041449,0.555094084063617,0.6788506752517257,4,470.41297238900006,"{'depth': 7, 'learning_rate': 0.13619406860195024, 'l2_leaf_reg': 7.768811685516967, 'random_strength': 5.448831829968968, 'bagging_temperature': 2.1182739966945237}",False,False,,476.1328125,435.55078125,False
geographical_origin_of_music,catboost,tree,1,1059,847,212,116,5129-185601-qvgdtemg-172-21-0-50,56426,353.99609375,15.031244653828898,10.709073436247309,0.3265418246972481,0.8133618113160619,4,471.1162719619997,"{'depth': 6, 'learning_rate': 0.14117873801313857, 'l2_leaf_reg': 1.000389087004001, 'random_strength': 3.0233257263183977, 'bagging_temperature': 0.7337794540855652}",False,False,,456.12890625,436.2734375,False
geographical_origin_of_music,catboost,tree,0,1059,847,212,116,5129-185601-qvgdtemg-172-21-0-50,56434,352.76953125,14.278703897434212,11.448136106155411,0.2698662895590449,0.7596191374083571,4,472.4693115810005,"{'depth': 7, 'learning_rate': 0.13619406860195024, 'l2_leaf_reg': 7.768811685516967, 'random_strength': 5.448831829968968, 'bagging_temperature': 2.1182739966945237}",False,False,,592.4609375,465.81640625,False
Moneyball,catboost,tree,0,1232,985,247,72,5129-185601-qvgdtemg-172-21-0-50,56412,350.734375,23.70363343949992,18.66899135295788,0.936836763801618,0.261121116471678,4,476.2939708090007,"{'depth': 7, 'learning_rate': 0.13619406860195024, 'l2_leaf_reg': 7.768811685516967, 'random_strength': 5.448831829968968, 'bagging_temperature': 2.1182739966945237}",False,False,,433.5546875,406.71875,False
health_insurance,catboost,tree,4,2500,2000,500,25,5129-185601-qvgdtemg-172-21-0-50,56403,352.953125,13.678198151877584,10.415891907861448,0.4181482031765906,0.7251033770576165,7,477.01544856300006,"{'depth': 10, 'learning_rate': 0.042029889637567805, 'l2_leaf_reg': 27.338377883916394, 'random_strength': 7.148159936743647, 'bagging_temperature': 3.4886441229863543}",False,False,,576.3828125,588.046875,False
geographical_origin_of_music,catboost,tree,4,1059,847,212,116,5129-185601-qvgdtemg-172-21-0-50,56429,345.6640625,15.628370558184027,12.345340859758,0.3033787541932495,0.8503543619853209,1,478.01237818499976,{},True,False,,499.921875,514.05078125,False
superconductivity,catboost,tree,2,2500,2000,500,81,5129-185601-qvgdtemg-172-21-0-50,56365,348.26171875,12.139891833748251,7.685629448618194,0.8669077499478489,0.3491504044238017,1,481.6866442439996,{},True,False,,481.8125,459.78515625,False
miami_housing,catboost,tree,1,2500,2000,500,15,5129-185601-qvgdtemg-172-21-0-50,56431,341.2421875,105903.04851504556,52151.57794918314,0.9116616585411056,0.341452740596244,4,483.46059515900015,"{'depth': 6, 'learning_rate': 0.14117873801313857, 'l2_leaf_reg': 1.000389087004001, 'random_strength': 3.0233257263183977, 'bagging_temperature': 0.7337794540855652}",False,False,,393.3828125,396.1953125,False
diamonds,catboost,tree,0,2500,2000,500,26,5129-185601-qvgdtemg-172-21-0-50,56385,351.46875,774.2811494417815,420.55076552555033,0.9649290459993152,0.2005140802532144,4,484.284578623,"{'depth': 7, 'learning_rate': 0.13619406860195024, 'l2_leaf_reg': 7.768811685516967, 'random_strength': 5.448831829968968, 'bagging_temperature': 2.1182739966945237}",False,False,,437.578125,409.40625,False
kings_county,catboost,tree,0,2500,2000,500,132,5129-185601-qvgdtemg-172-21-0-50,56369,350.8671875,114892.9089413612,69889.15515152758,0.8775182282120313,0.3471896623174788,4,486.26006693599993,"{'depth': 7, 'learning_rate': 0.13619406860195024, 'l2_leaf_reg': 7.768811685516967, 'random_strength': 5.448831829968968, 'bagging_temperature': 2.1182739966945237}",False,False,,439.85546875,410.8046875,False
video_transcoding,catboost,tree,3,2500,2000,500,24,5129-185601-qvgdtemg-172-21-0-50,56419,351.8046875,2.8301633779222186,1.2525136242560806,0.9536490863711112,0.1864706190013388,4,496.249741052,"{'depth': 7, 'learning_rate': 0.12964371541060518, 'l2_leaf_reg': 2.689685941170981, 'random_strength': 5.10827605197663, 'bagging_temperature': 4.464734771738273}",False,False,,572.015625,497.421875,False
pumadyn32nh,catboost,tree,2,2500,2000,500,32,5129-185601-qvgdtemg-172-21-0-50,56398,352.16015625,0.0218265524605545,0.0172547770542961,0.6202991583720324,0.59974307609148,1,502.1906758930008,{},True,False,,435.04296875,428.40625,False
geographical_origin_of_music,catboost,tree,2,1059,847,212,116,5129-185601-qvgdtemg-172-21-0-50,56425,351.3671875,16.404854738585104,12.570224322222344,0.2391335716575016,0.8935724147083505,1,504.94304909899984,{},True,False,,498.09765625,450.6484375,False
kings_county,catboost,tree,4,2500,2000,500,132,5129-185601-qvgdtemg-172-21-0-50,56375,349.51953125,138733.00829045696,72207.57892927858,0.840494775375956,0.42551244281804,1,509.67861483900015,{},True,False,,588.0703125,540.625,False
cpu_activity,catboost,tree,0,2500,2000,500,21,5129-185601-qvgdtemg-172-21-0-50,56415,353.77734375,3.1835861098714737,2.1014414252655467,0.977789339422196,0.1680406877627983,4,512.2861874459995,"{'depth': 7, 'learning_rate': 0.13619406860195024, 'l2_leaf_reg': 7.768811685516967, 'random_strength': 5.448831829968968, 'bagging_temperature': 2.1182739966945237}",False,False,,469.29296875,422.7734375,False
superconductivity,catboost,tree,3,2500,2000,500,81,5129-185601-qvgdtemg-172-21-0-50,56392,350.078125,13.098634252340617,8.088749993335036,0.8576400027684039,0.3807062910580019,4,515.0426419240002,"{'depth': 7, 'learning_rate': 0.12964371541060518, 'l2_leaf_reg': 2.689685941170981, 'random_strength': 5.10827605197663, 'bagging_temperature': 4.464734771738273}",False,False,,565.44921875,573.125,False
miami_housing,catboost,tree,0,2500,2000,500,15,5129-185601-qvgdtemg-172-21-0-50,56432,343.05078125,121958.27253160738,56711.44212302434,0.8668469653214232,0.3855158690198305,4,519.9458818120002,"{'depth': 7, 'learning_rate': 0.13619406860195024, 'l2_leaf_reg': 7.768811685516967, 'random_strength': 5.448831829968968, 'bagging_temperature': 2.1182739966945237}",False,False,,445.328125,417.71875,False
cpu_activity,catboost,tree,4,2500,2000,500,21,5129-185601-qvgdtemg-172-21-0-50,56421,352.68359375,2.947766315240989,1.9153087235685824,0.9774339320013488,0.1518143783201718,1,538.0998403980002,{},True,False,,717.2265625,723.7109375,False
cps88wages,catboost,tree,0,2500,2000,500,12,5129-185601-qvgdtemg-172-21-0-50,56384,455.2578125,338.2075234750267,240.7465316473933,0.3357657281171686,0.8246484672645746,10,322.06230522400074,"{'depth': 8, 'learning_rate': 0.019508802184929567, 'l2_leaf_reg': 20.761410420015302, 'random_strength': 9.636627605010293, 'bagging_temperature': 1.9172075941288886}",False,False,,477.76171875,480.64453125,False
brazilian_houses,catboost,tree,4,2500,2000,500,49,5129-185601-qvgdtemg-172-21-0-50,56374,353.35546875,2549.225831439668,1504.2390632461702,0.6591800238800546,0.296730590262262,7,547.321303361,"{'depth': 10, 'learning_rate': 0.042029889637567805, 'l2_leaf_reg': 27.338377883916394, 'random_strength': 7.148159936743647, 'bagging_temperature': 3.4886441229863543}",False,False,,545.5625,550.0078125,False
grid_stability,catboost,tree,1,2500,2000,500,12,5129-185601-qvgdtemg-172-21-0-50,56364,466.19921875,0.0102647853473198,0.0075816597033289,0.9222108996950196,0.2824706052030816,4,228.8499249139996,"{'depth': 6, 'learning_rate': 0.14117873801313857, 'l2_leaf_reg': 1.000389087004001, 'random_strength': 3.0233257263183977, 'bagging_temperature': 0.7337794540855652}",False,False,,468.87109375,443.234375,False
superconductivity,catboost,tree,4,2500,2000,500,81,5129-185601-qvgdtemg-172-21-0-50,56393,352.83203125,13.069052088918042,8.53231730653251,0.8622394357620276,0.381099435924377,1,565.7904873650004,{},True,False,,564.046875,564.41015625,False
cps88wages,catboost,tree,1,2500,2000,500,12,5129-185601-qvgdtemg-172-21-0-50,56436,426.98828125,303.7204690449508,223.0101090502246,0.3744217073787133,0.7274357392878902,4,366.96369463300016,"{'depth': 6, 'learning_rate': 0.14117873801313857, 'l2_leaf_reg': 1.000389087004001, 'random_strength': 3.0233257263183977, 'bagging_temperature': 0.7337794540855652}",False,False,,428.5,431.44140625,False
cps88wages,catboost,tree,2,2500,2000,500,12,5129-185601-qvgdtemg-172-21-0-50,56387,492.27734375,300.7856399084123,220.0141546280856,0.4096205474047704,0.7231300382600407,1,377.5445256439998,{},True,False,,492.52734375,458.80859375,False
video_transcoding,catboost,tree,1,2500,2000,500,24,5129-185601-qvgdtemg-172-21-0-50,56402,348.328125,4.214105209273799,1.4504610780608256,0.9154291686677454,0.2833342586071421,4,604.6724311560001,"{'depth': 6, 'learning_rate': 0.14117873801313857, 'l2_leaf_reg': 1.000389087004001, 'random_strength': 3.0233257263183977, 'bagging_temperature': 0.7337794540855652}",False,False,,404.65625,407.68359375,False
miami_housing,catboost,tree,4,2500,2000,500,15,5129-185601-qvgdtemg-172-21-0-50,56405,339.296875,107914.0302903747,50889.5066867951,0.907772166646804,0.3476125253779574,1,607.5282448019998,{},True,False,,744.5234375,742.6015625,False
naval_propulsion_plant,catboost,tree,0,2500,2000,500,14,5129-185601-qvgdtemg-172-21-0-50,56423,352.0234375,0.0015584846819381,0.0011220852451531,0.9885287806566302,0.1055172151934668,1,610.1431343200002,{},True,False,,434.7421875,429.11328125,False
cps88wages,catboost,tree,3,2500,2000,500,12,5129-185601-qvgdtemg-172-21-0-50,56410,413.765625,296.1333541948392,219.09432946396285,0.391909065284943,0.7071678275090039,4,382.3413757010003,"{'depth': 7, 'learning_rate': 0.12964371541060518, 'l2_leaf_reg': 2.689685941170981, 'random_strength': 5.10827605197663, 'bagging_temperature': 4.464734771738273}",False,False,,581.54296875,445.00390625,False
fps_benchmark,catboost,tree,0,2500,2000,500,125,5129-185601-qvgdtemg-172-21-0-50,56376,343.625,3.0380297646035976,1.81888229217226,0.9967735085460382,0.056588221416185,1,630.554041886,{},True,False,,432.21484375,436.625,False
fps_benchmark,catboost,tree,4,2500,2000,500,125,5129-185601-qvgdtemg-172-21-0-50,56390,350.9453125,3.164990464830632,1.8421223836173448,0.996708148498733,0.0594161665746669,1,638.5222512580003,{},True,False,,593.62109375,569.0234375,False
wave_energy,catboost,tree,2,2500,2000,500,48,5129-185601-qvgdtemg-172-21-0-50,56379,354.0390625,27371.053781661973,19615.46347865581,0.9404376809348828,0.2498422187206533,1,638.9847271019999,{},True,False,,462.6796875,455.1015625,False
video_transcoding,catboost,tree,4,2500,2000,500,24,5129-185601-qvgdtemg-172-21-0-50,56416,354.12890625,3.670066687473663,1.4366913834780508,0.9325646563427908,0.2453936823459225,1,641.015262035,{},True,False,,647.9765625,625.5,False
fps_benchmark,catboost,tree,3,2500,2000,500,125,5129-185601-qvgdtemg-172-21-0-50,56371,352.4609375,3.6840705634073534,1.920164958623021,0.9957360132321488,0.0695965398705726,1,644.0075853500002,{},True,False,,449.78125,455.0546875,False
naval_propulsion_plant,catboost,tree,4,2500,2000,500,14,5129-185601-qvgdtemg-172-21-0-50,56414,353.671875,0.0020308819413468,0.001265264174249,0.9810767895189214,0.1379973478287476,1,644.6871997949993,{},True,False,,714.578125,624.66796875,False
sarcos,catboost,tree,4,2500,2000,500,21,5129-185601-qvgdtemg-172-21-0-50,56435,350.73046875,4.801123730732137,3.06855239917982,0.93905067971765,0.2397283136066801,1,645.5253803169999,{},True,False,,655.9140625,663.74609375,False
